lang,repo,,link to contribution guidelines,link to static analysis file,CR required pre-merge?,style guide?,testing mentioned?,adding docs mentioned?,static analysis: line width?,any other rules that would affect metrics?,,
cpp,https://github.com/bitcoin/bitcoin.git,c540ede,https://github.com/bitcoin/bitcoin/blob/master/CONTRIBUTING.md,https://github.com/bitcoin/bitcoin/blob/master/.style.yapf,x,x,x,x,160 (https://github.com/bitcoin/bitcoin/blob/master/.style.yapf),,,
cpp,https://github.com/electron/electron.git,2e0b4ec,https://github.com/electron/electron/blob/main/CONTRIBUTING.md,https://github.com/electron/electron/blob/main/.eslintrc.json .  (but also use the python and clang linters),x,https://www.electronjs.org/docs/latest/development/coding-style,x,(docstring generation/linting at least),,,,
cpp,https://github.com/facebook/react-native.git,e7a9322,https://github.com/facebook/react-native/blob/main/CONTRIBUTING.md,https://github.com/facebook/react-native/blob/main/.clang-format,x,prettier & https://github.com/facebook/react-native/blob/main/.eslintrc.js,x,(main way to contribute it seems like!),80,,,
cpp,https://github.com/godotengine/godot.git,b89c47b,https://github.com/godotengine/godot/blob/master/CONTRIBUTING.md,https://github.com/godotengine/godot/blob/master/.clang-format,x (https://contributing.godotengine.org/en/latest/organization/pull_requests/review_guidelines.html),https://contributing.godotengine.org/en/latest/engine/guidelines/code_style.html#doc-code-style-guidelines,https://docs.godotengine.org/en/stable/engine_details/architecture/unit_testing.html,pretty comprehensive! (more about docs than in code though) https://contributing.godotengine.org/en/latest/documentation/guidelines/index.html,,,,
cpp,https://github.com/grpc/grpc.git,bf13fe7,https://github.com/grpc/grpc/blob/master/CONTRIBUTING.md, and https://github.com/grpc/grpc/blob/master/.clang-tidy,x,x (https://github.com/grpc/grpc/blob/master/grpc-style-config.toml),x,,"100 in one place, 80 in another",,,
cpp,https://github.com/microsoft/terminal.git,e332c67,https://github.com/microsoft/terminal/blob/main/CONTRIBUTING.md,https://github.com/microsoft/terminal/blob/main/.clang-format,x,https://github.com/microsoft/terminal/blob/main/doc/STYLE.md,x (https://github.com/microsoft/terminal/blob/main/doc/TAEF.md),,,,,
cpp,https://github.com/ocornut/imgui.git,77f1d3b,https://github.com/ocornut/imgui?tab=contributing-ov-file,"(mostly informal, described in docs, but https://github.com/ocornut/imgui/blob/master/.editorconfig configured)",x,x ,,,,,,
cpp,https://github.com/opencv/opencv.git,9f7793c,https://github.com/opencv/opencv/wiki/Coding_Style_Guide,https://github.com/opencv/opencv/wiki/.clang_format,x,x,x,x,100 (https://github.com/opencv/opencv/wiki/Coding_Style_Guide),,,
cpp,https://github.com/tensorflow/tensorflow.git,a854d832,https://github.com/tensorflow/tensorflow/blob/master/CONTRIBUTING.md,clang-tidy & pylint,x,x,x,(docstring generation at least),80 (google cpp),,https://google.github.io/styleguide/cppguide.html,prefer-short-methods (40 mentioned)
cpp,https://github.com/tesseract-ocr/tesseract.git,3b7c70e,https://github.com/tesseract-ocr/tesseract/blob/main/CONTRIBUTING.md,https://github.com/tesseract-ocr/tesseract/blob/main/.clang-format,x,,,,,,not a lot of detail in this one?,
cpp,https://github.com/x64dbg/x64dbg.git,c183595,https://github.com/x64dbg/x64dbg/blob/development/.github/CONTRIBUTING.md,https://github.com/x64dbg/x64dbg/blob/development/.clang-tidy,x,x,,x,,,,
java,https://github.com/apache/beam,2ab8edf5,https://github.com/apache/beam?tab=contributing-ov-file,https://github.com/apache/beam/blob/132b24b32e284ef014e37d6d2e86cdddf6ed0fbc/sdks/java/build-tools/src/main/resources/beam/checkstyle/checkstyle.xml#L22,x,x,x,documenting the PR well,100,,,
java,https://github.com/apache/cassandra-java-driver,c9facc3,https://github.com/apache/cassandra-java-driver?tab=contributing-ov-file,https://github.com/apache/cassandra/blob/e752ef1511bf627d9542748c6f4189ed55b25797/.build/checkstyle.xml#L4,x,x,x,x,no,,,
java,https://github.com/apache/dubbo,2af3a91,https://github.com/apache/dubbo?tab=contributing-ov-file#readme,https://github.com/apache/dubbo/blob/3.3/codestyle/checkstyle.xml,x,x,x,x,"no, but mention 120 chars in style guide",,,
java,https://github.com/apache/hadoop,8f78af1e,https://cwiki.apache.org/confluence/display/FINERACT/Code+Review+Guide,https://github.com/apache/hadoop/blob/b6da28f445bbb9ba0921fe3768ef88def7f7af78/hadoop-build-tools/src/main/resources/checkstyle/checkstyle.xml#L134,x,x,x,x,100,"MethodLength (150), ParameterNumber",,
java,https://github.com/apache/ignite,3aefee0f,https://cwiki.apache.org/confluence/display/IGNITE/Coding+Guidelines,https://github.com/apache/ignite/blob/master/checkstyle/checkstyle.xml,x,x,x,x,140,,,
java,https://github.com/apache/spark,2367f582,https://spark.apache.org/contributing.html,https://github.com/apache/spark/blob/e9a285eaf2737ecd28f0cbb6b4a1c60c3e9b7819/dev/checkstyle.xml#L4,x,x,x,x,100,OneStatementPerLine,,
java,https://github.com/apache/zeppelin,1988df3,https://zeppelin.apache.org/contribution/contributions.html,https://github.com/apache/zeppelin/blob/410b160c692bbb55b814afc095b1f2e65d335b8b/build-tools/src/main/resources/zeppelin/checkstyle.xml#L4,x,x,x,x,100,,,
java,https://github.com/elastic/elasticsearch-java,ab9f057,https://github.com/elastic/elasticsearch-java?tab=contributing-ov-file,https://github.com/elastic/elasticsearch/blob/0b984b4cf53145085c87445d39a3a5c7bc37dde5/build-tools-internal/src/main/resources/checkstyle.xml#L4,x,x,x,,140,OneStatementPerLine,,
java,https://github.com/spring-projects/spring-boot,ec6f251,https://github.com/spring-projects/spring-boot/wiki/Team-Practices,https://github.com/spring-projects/spring-boot/blob/dba148ea373c75ca4ca8e89f6995dac75488c6ed/config/checkstyle/checkstyle.xml#L4,x,x,x,x,,,,
java,https://github.com/spring-projects/spring-kafka,17fedf6,https://github.com/spring-projects/spring-kafka?tab=contributing-ov-file,https://github.com/spring-projects/spring-kafka/blob/main/src/checkstyle/checkstyle.xml,x,,x,,,"OneStatementPerLine, NestedIfDepth (4), NestedForDepth (3)",,
python,https://github.com/ansible/ansible,b71d9aa,https://docs.ansible.com/ansible/devel/dev_guide/,https://github.com/ansible/ansible/blob/devel/pyproject.toml,x,x,x,x,88,,,
python,https://github.com/django/django,1a74434,https://docs.djangoproject.com/en/dev/internals/contributing/,https://github.com/django/django/blob/main/pyproject.toml,x,x,x,x,88,,,
python,https://github.com/home-assistant/core,2d6802e0,https://github.com/kubernetes/community/blob/master/contributors/guide/pull-requests.md#best-practices-for-faster-reviews,https://github.com/home-assistant/core/blob/dev/pyproject.toml,x,x,x,x,72,mccabe (25),,
python,https://github.com/huggingface/transformers,81cff7a,https://github.com/huggingface/transformers?tab=contributing-ov-file,https://github.com/huggingface/transformers/blob/main/pyproject.toml,x,x,x,x,119,,,
python,https://github.com/keras-team/keras,de9cf25,https://github.com/keras-team/keras?tab=contributing-ov-file,https://github.com/keras-team/keras/blob/master/pyproject.toml,x,x,x,x,80,,,
python,https://github.com/localstack/localstack,4d2139c,https://github.com/localstack/localstack?tab=contributing-ov-file,https://github.com/localstack/localstack/blob/main/pyproject.toml,x,x,x,x,100,,,
python,https://github.com/scikit-learn/scikit-learn,bff3d7d,https://scikit-learn.org/dev/developers/contributing.html,https://github.com/scikit-learn/scikit-learn/blob/main/pyproject.toml,x,x,x,x,88,,,
python,https://github.com/tiangolo/fastapi,e31f35e,https://fastapi.tiangolo.com/contributing/#docs-live,https://github.com/fastapi/fastapi/blob/master/pyproject.toml,x,x,x,x,88,,,
rust,https://github.com/alacritty/alacritty,9eb6803,https://github.com/alacritty/alacritty?tab=contributing-ov-file,https://github.com/alacritty/alacritty/blob/master/rustfmt.toml,x,x,x,x,100,,,
rust,https://github.com/astral-sh/uv,08f2fa4,https://github.com/astral-sh/uv?tab=contributing-ov-file,https://github.com/astral-sh/uv?tab=contributing-ov-file,x,x,x,x,100,,,
rust,https://github.com/denoland/deno,6f831d1,https://github.com/denoland/deno?tab=contributing-ov-file,https://github.com/denoland/deno?tab=contributing-ov-file,x,x,x,,80,,,
rust,https://github.com/FuelLabs/fuel-core,85b2356,https://github.com/FuelLabs/fuel-core?tab=contributing-ov-file,https://github.com/FuelLabs/fuel-core/blob/master/.rustfmt.toml,x,x,x,x,90,,,
rust,https://github.com/FuelLabs/sway,2d0021c,https://fuellabs.github.io/sway/master/book/reference/contributing_to_sway.html,https://github.com/FuelLabs/sway/blob/master/rustfmt.toml,x,x,x,x,100,,,
rust,https://github.com/rust-lang/rust,13718eb7,https://rustc-dev-guide.rust-lang.org/contributing.html,https://github.com/rust-lang/rust/blob/master/rustfmt.toml,x,x,x,x,100,,,
rust,https://github.com/rustdesk/rustdesk,ec0456e,https://github.com/rustdesk/rustdesk?tab=contributing-ov-file,,x,,x,,,,,
rust,https://github.com/tauri-apps/tauri,6a39f49,https://github.com/tauri-apps/tauri?tab=contributing-ov-file#development-guide,https://github.com/tauri-apps/tauri/blob/dev/rustfmt.toml,x,,x,x,100,,,
rust,https://github.com/unionlabs/union,05c56f6,https://github.com/unionlabs/union?tab=contributing-ov-file,https://github.com/unionlabs/union/blob/main/rustfmt.toml,x,x,x,,100,,,
rust,https://github.com/zed-industries/zed,c57e6bc,https://github.com/zed-industries/zed?tab=contributing-ov-file,https://github.com/zed-industries/zed/blob/9a6397fb177cec19b848e2800f9cdc018dbfe984/rust-toolchain.toml#L4,x,,x,,100,,,
ts,https://github.com/angular/angular.git,04b6881,https://github.com/angular/angular?tab=contributing-ov-file,https://github.com/angular/angular/blob/main/.prettierrc,x,x,x,x,100,,,
ts,https://github.com/Eugeny/tabby.git,ef59394,https://github.com/Eugeny/tabby/blob/master/HACKING.md,https://github.com/Eugeny/tabby/blob/master/.eslintrc.yml,x,,,,,max-statements: 80,,
ts,https://github.com/hoppscotch/hoppscotch.git,f8cd8bf,https://github.com/hoppscotch/hoppscotch?tab=contributing-ov-file,https://github.com/hoppscotch/hoppscotch?tab=contributing-ov-file,x,,,x,80,,,
ts,https://github.com/microsoft/TypeScript.git,b504a1eed,https://github.com/microsoft/TypeScript?tab=contributing-ov-file,https://github.com/microsoft/TypeScript/blob/main/eslint.config.mjs,x,x,x,,,,,
ts,https://github.com/microsoft/vscode.git,40b2fd1,https://github.com/microsoft/vscode/wiki/How-to-Contribute#pull-requests,https://github.com/microsoft/vscode/blob/main/eslint.config.js,x,x,x,x,,,,
ts,https://github.com/n8n-io/n8n.git,07a636e,https://github.com/n8n-io/n8n?tab=contributing-ov-file,https://github.com/n8n-io/n8n/blob/master/.prettierrc.js,x,x,x,x,100,,,
ts,https://github.com/nestjs/nest.git,cfa2cac,https://github.com/nestjs/nest?tab=contributing-ov-file,https://github.com/nestjs/nest/blob/master/.prettierrc,x,x,x,,80,,,
ts,https://github.com/puppeteer/puppeteer.git,4bd8319,https://github.com/puppeteer/puppeteer?tab=contributing-ov-file,https://github.com/Eugeny/tabby/blob/master/.eslintrc.yml,x,x,x,x,80,,,
ts,https://github.com/vitejs/vite.git,f6a28d5,https://github.com/vitejs/vite?tab=contributing-ov-file,https://github.com/vitejs/vite/blob/main/.prettierrc.json,x,x,x,x,80,,,
ts,https://github.com/vuejs/core.git,a60f2bd,https://github.com/vuejs/core?tab=contributing-ov-file,https://github.com/vuejs/core/blob/main/.prettierrc,x,x,x,,80,,,