repo_id,unique_commit_shas,unique_commit_authors,repo_name
77213120,944,59,Eugeny/tabby
290882787,11838,71,FuelLabs/fuel-core
331107018,16501,163,FuelLabs/sway
51980455,490,78,alacritty/alacritty
24195339,11653,581,angular/angular
3638964,2308,224,ansible/ansible
50904245,21917,1535,apache/beam
6765281,547,40,apache/cassandra-java-driver
4710920,2156,173,apache/dubbo
23418517,3033,248,apache/hadoop
31006158,1089,72,apache/ignite
17165658,9846,542,apache/spark
32848140,342,61,apache/zeppelin
699532645,18643,399,astral-sh/uv
1181927,7542,180,bitcoin/bitcoin
589831718,3335,215,comfyanonymous/ComfyUI
133442384,7359,321,denoland/deno
4164482,2917,444,django/django
365244061,965,27,elastic/elasticsearch-java
9384267,17779,221,electron/electron
29028775,12039,777,facebook/react-native
160919119,3883,421,fastapi/fastapi
15634981,15414,1193,godotengine/godot
27729880,7164,229,grpc/grpc
12888993,49507,1544,home-assistant/core
203587744,4167,101,hoppscotch/hoppscotch
155220641,24710,1661,huggingface/transformers
33015583,2604,268,keras-team/keras
71948498,17224,172,localstack/localstack
20929025,4906,153,microsoft/TypeScript
100060912,5710,129,microsoft/terminal
41881900,40322,601,microsoft/vscode
193215554,42147,240,n8n-io/n8n
80945428,7604,188,nestjs/nest
22067521,5726,197,ocornut/imgui
5108051,2877,367,opencv/opencv
90796663,11067,104,puppeteer/puppeteer
724712,44675,1731,rust-lang/rust
299354207,4788,211,rustdesk/rustdesk
843222,2830,497,scikit-learn/scikit-learn
6296790,12305,281,spring-projects/spring-boot
52980493,1380,100,spring-projects/spring-kafka
196701619,7090,300,tauri-apps/tauri
45717250,64058,937,tensorflow/tensorflow
22887094,321,31,tesseract-ocr/tesseract
641656392,10275,32,unionlabs/union
257485422,4574,435,vitejs/vite
137078487,3897,226,vuejs/core
33791743,655,31,x64dbg/x64dbg
340547520,32563,1020,zed-industries/zed