non_bot_comment_count,pr_url_count,n_comment_authors_count,repo_id,repo_id_1,repo_name
221,121,32,365244061,365244061,elastic/elasticsearch-java
273,94,41,77213120,77213120,Eugeny/tabby
591,123,28,33791743,33791743,x64dbg/x64dbg
620,127,43,22887094,22887094,tesseract-ocr/tesseract
1441,261,69,6765281,6765281,apache/cassandra-java-driver
1499,279,71,52980493,52980493,spring-projects/spring-kafka
1573,433,275,22067521,22067521,ocornut/imgui
1774,322,65,32848140,32848140,apache/zeppelin
2201,445,164,299354207,299354207,rustdesk/rustdesk
2463,1202,90,641656392,641656392,unionlabs/union
2829,787,156,203587744,203587744,hoppscotch/hoppscotch
2923,463,223,51980455,51980455,alacritty/alacritty
3551,923,75,31006158,31006158,apache/ignite
3593,1089,310,6296790,6296790,spring-projects/spring-boot
3624,831,638,589831718,589831718,comfyanonymous/ComfyUI
3874,2519,294,80945428,80945428,nestjs/nest
4224,1248,175,4710920,4710920,apache/dubbo
4948,2230,132,90796663,90796663,puppeteer/puppeteer
5606,1408,534,137078487,137078487,vuejs/core
6214,2056,306,196701619,196701619,tauri-apps/tauri
6804,1665,251,33015583,33015583,keras-team/keras
7766,1452,105,331107018,331107018,FuelLabs/sway
8460,1206,252,100060912,100060912,microsoft/terminal
9106,1115,71,290882787,290882787,FuelLabs/fuel-core
9405,2288,378,3638964,3638964,ansible/ansible
9680,2553,580,45717250,45717250,tensorflow/tensorflow
10317,2278,1038,160919119,160919119,fastapi/fastapi
10740,2869,231,71948498,71948498,localstack/localstack
11859,2659,808,257485422,257485422,vitejs/vite
12879,2159,384,5108051,5108051,opencv/opencv
13724,4429,381,27729880,27729880,grpc/grpc
13796,6109,474,9384267,9384267,electron/electron
15656,5183,451,133442384,133442384,denoland/deno
18191,4103,598,699532645,699532645,astral-sh/uv
18781,2593,832,4164482,4164482,django/django
21086,5767,1912,340547520,340547520,zed-industries/zed
24141,2325,371,23418517,23418517,apache/hadoop
24489,2640,672,20929025,20929025,microsoft/TypeScript
25302,3633,655,843222,843222,scikit-learn/scikit-learn
26895,6939,525,193215554,193215554,n8n-io/n8n
28130,6479,772,24195339,24195339,angular/angular
33471,5806,438,50904245,50904245,apache/beam
37761,17920,1702,41881900,41881900,microsoft/vscode
53980,10585,880,29028775,29028775,facebook/react-native
56006,3933,912,1181927,1181927,bitcoin/bitcoin
68980,8831,2699,155220641,155220641,huggingface/transformers
83895,10052,1015,17165658,17165658,apache/spark
117580,15932,3340,15634981,15634981,godotengine/godot
139783,30594,3161,12888993,12888993,home-assistant/core
261332,22146,1972,724712,724712,rust-lang/rust